dataset,protocol,model,seed,missing_pattern,missing_probability,best_epoch,n_params,MAE,Corr,timestamp
MOSEI-B3,A,H0+cons λ=0.05,42,T missing,0.0,18,434945,0.837645060199297,0.0,2026-09-05 16:22:39
MOSEI-B3,A,H0+cons λ=0.05,42,A missing,0.0,18,434945,0.837645058191537,0.03731789710601399,2026-09-05 16:22:40
MOSEI-B3,A,H0+cons λ=0.05,42,V missing,0.0,18,434945,0.837645060199297,0.0,2026-09-05 16:22:41
MOSEI-B3,A,H0+cons λ=0.05,42,T+A missing,0.0,18,434945,0.837586818968151,0.034224024818676785,2026-09-05 16:22:42
MOSEI-B3,A,H0+cons λ=0.05,42,T+V missing,0.0,18,434945,0.8376450601747157,0.021261488588308355,2026-09-05 16:22:43
MOSEI-B3,A,H0+cons λ=0.05,42,A+V missing,0.0,18,434945,0.8376450603070307,-0.002877736661561751,2026-09-05 16:22:44
MOSEI-B3,B,H0+cons λ=0.05,42,None,0.5,22,434945,0.6665769279353768,0.598217798397962,2026-09-05 16:22:45
MOSEI-B3,B,H0+cons λ=0.05,42,T missing,0.5,22,434945,0.8054239721276747,0.24023455036643057,2026-09-05 16:22:46
MOSEI-B3,B,H0+cons λ=0.05,42,A missing,0.5,22,434945,0.6639606833992309,0.5919196762665215,2026-09-05 16:22:47
MOSEI-B3,B,H0+cons λ=0.05,42,V missing,0.5,22,434945,0.664289879793353,0.5985269221329227,2026-09-05 16:22:48
MOSEI-B3,B,H0+cons λ=0.05,42,T+A missing,0.5,22,434945,0.8103873077073944,0.2086866089594186,2026-09-05 16:22:49
MOSEI-B3,B,H0+cons λ=0.05,42,T+V missing,0.5,22,434945,0.8169371401403688,0.21435820938006866,2026-09-05 16:22:50
MOSEI-B3,B,H0+cons λ=0.05,42,A+V missing,0.5,22,434945,0.6650598910766579,0.5856030348961988,2026-09-05 16:22:52
MOSEI-B3,A,H0+cons λ=0.1,42,None,0.0,28,434945,0.837648127774118,0.0,2026-09-05 16:34:37
MOSEI-B3,A,H0+cons λ=0.1,42,T missing,0.0,28,434945,0.8376481277836709,-0.0018729267518921282,2026-09-05 16:34:38
MOSEI-B3,A,H0+cons λ=0.1,42,A missing,0.0,28,434945,0.83764812804931,-0.03627091212051917,2026-09-05 16:34:39
MOSEI-B3,A,H0+cons λ=0.1,42,V missing,0.0,28,434945,0.837648127774118,0.0,2026-09-05 16:34:40
MOSEI-B3,A,H0+cons λ=0.1,42,T+A missing,0.0,28,434945,0.8376128105670789,0.026676944694050016,2026-09-05 16:34:41
MOSEI-B3,A,H0+cons λ=0.1,42,T+V missing,0.0,28,434945,0.8376481278346011,-0.013891803900722087,2026-09-05 16:34:42
MOSEI-B3,A,H0+cons λ=0.1,42,A+V missing,0.0,28,434945,0.8376481278096093,-0.003940939155854462,2026-09-05 16:34:43
MOSEI-B3,B,H0+cons λ=0.1,42,None,0.5,9,434945,0.8377589628005317,0.0025508800899668596,2026-09-05 16:34:45
MOSEI-B3,B,H0+cons λ=0.1,42,T missing,0.5,9,434945,0.8377528802770088,0.013460229848248942,2026-09-05 16:34:46
MOSEI-B3,B,H0+cons λ=0.1,42,A missing,0.5,9,434945,0.8377556270532007,0.00961009145559966,2026-09-05 16:34:47
MOSEI-B3,B,H0+cons λ=0.1,42,V missing,0.5,9,434945,0.8377590744206856,0.0025069476672029776,2026-09-05 16:34:47
MOSEI-B3,B,H0+cons λ=0.1,42,T+A missing,0.5,9,434945,0.8082794919056782,0.2202241269412469,2026-09-05 16:34:49
MOSEI-B3,B,H0+cons λ=0.1,42,T+V missing,0.5,9,434945,0.8377525819381121,0.013665656361651254,2026-09-05 16:34:49
MOSEI-B3,B,H0+cons λ=0.1,42,A+V missing,0.5,9,434945,0.8377552416758107,0.008355864181001251,2026-09-05 16:34:51
MOSEI-B3-sg,B,H0 (w/o cons),42,None,0.5,22,434945,0.6591024988108952,0.6017551351444713,2026-09-05 18:05:46
MOSEI-B3-sg,B,H0 (w/o cons),42,T missing,0.5,22,434945,0.8001293935633235,0.2469606499169577,2026-09-05 18:05:47
MOSEI-B3-sg,B,H0 (w/o cons),42,A missing,0.5,22,434945,0.6595772029023893,0.6000232404224769,2026-09-05 18:05:48
MOSEI-B3-sg,B,H0 (w/o cons),42,V missing,0.5,22,434945,0.6572085812630908,0.608963657230307,2026-09-05 18:05:49
MOSEI-B3-sg,B,H0 (w/o cons),42,T+A missing,0.5,22,434945,0.8048502428437785,0.22916463860291605,2026-09-05 18:05:50
MOSEI-B3-sg,B,H0 (w/o cons),42,T+V missing,0.5,22,434945,0.8296296937090433,0.13880562877787345,2026-09-05 18:05:50
MOSEI-B3-sg,B,H0 (w/o cons),42,A+V missing,0.5,22,434945,0.6581771769596979,0.6043202613420489,2026-09-05 18:05:52
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,None,0.5,28,434945,0.6573059154662777,0.6093194035763096,2026-09-05 18:12:02
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,T missing,0.5,28,434945,0.8043875124368872,0.26866011597872225,2026-09-05 18:12:04
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,A missing,0.5,28,434945,0.6542504789990108,0.6082063087056335,2026-09-05 18:12:05
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,V missing,0.5,28,434945,0.6567956256039719,0.6155462240453474,2026-09-05 18:12:06
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,T+A missing,0.5,28,434945,0.8087443826066608,0.24105670429873186,2026-09-05 18:12:07
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,T+V missing,0.5,28,434945,0.8180454643910593,0.21059255765059975,2026-09-05 18:12:08
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,A+V missing,0.5,28,434945,0.6568012369582809,0.6097710152529102,2026-09-05 18:12:09
MOSEI-B3-sg,B,H0 (w/o cons),42,None,0.5,22,434945,0.6591024988108952,0.6017551351444713,2026-09-05 21:59:05
MOSEI-B3-sg,B,H0 (w/o cons),42,T missing,0.5,22,434945,0.8001293935633235,0.2469606499169577,2026-09-05 21:59:06
MOSEI-B3-sg,B,H0 (w/o cons),42,A missing,0.5,22,434945,0.6595772029023893,0.6000232404224769,2026-09-05 21:59:07
MOSEI-B3-sg,B,H0 (w/o cons),42,V missing,0.5,22,434945,0.6572085812630908,0.608963657230307,2026-09-05 21:59:08
MOSEI-B3-sg,B,H0 (w/o cons),42,T+A missing,0.5,22,434945,0.8048502428437785,0.22916463860291605,2026-09-05 21:59:09
MOSEI-B3-sg,B,H0 (w/o cons),42,T+V missing,0.5,22,434945,0.8296296937090433,0.13880562877787345,2026-09-05 21:59:10
MOSEI-B3-sg,B,H0 (w/o cons),42,A+V missing,0.5,22,434945,0.6581771769596979,0.6043202613420489,2026-09-05 21:59:10
MOSEI-B3-sg,B,H0+nsgL2 λ=0.005,42,None,0.5,23,434945,0.65800761292107,0.601842894144546,2026-09-05 22:05:23
MOSEI-B3-sg,B,H0+nsgL2 λ=0.005,42,T missing,0.5,23,434945,0.8034510359224292,0.26002413175404415,2026-09-05 22:05:24
MOSEI-B3-sg,B,H0+nsgL2 λ=0.005,42,A missing,0.5,23,434945,0.6511330409950833,0.6004138024522928,2026-09-05 22:05:25
MOSEI-B3-sg,B,H0+nsgL2 λ=0.005,42,V missing,0.5,23,434945,0.6654846615895126,0.5967023566766835,2026-09-05 22:05:26
MOSEI-B3-sg,B,H0+nsgL2 λ=0.005,42,T+A missing,0.5,23,434945,0.802128920992636,0.2416912810739642,2026-09-05 22:05:26
MOSEI-B3-sg,B,H0+nsgL2 λ=0.005,42,T+V missing,0.5,23,434945,0.8144447276036365,0.21785310243356104,2026-09-05 22:05:27
MOSEI-B3-sg,B,H0+nsgL2 λ=0.005,42,A+V missing,0.5,23,434945,0.6591620293402621,0.5920451552662465,2026-09-05 22:05:28
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,None,0.5,28,434945,0.6573059154662777,0.6093194035763096,2026-09-05 22:11:56
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,T missing,0.5,28,434945,0.8043875124368872,0.26866011597872225,2026-09-05 22:11:58
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,A missing,0.5,28,434945,0.6542504789990108,0.6082063087056335,2026-09-05 22:11:59
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,V missing,0.5,28,434945,0.6567956256039719,0.6155462240453474,2026-09-05 22:12:00
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,T+A missing,0.5,28,434945,0.8087443826066608,0.24105670429873186,2026-09-05 22:12:01
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,T+V missing,0.5,28,434945,0.8180454643910593,0.21059255765059975,2026-09-05 22:12:02
MOSEI-B3-sg,B,H0+nsgL2 λ=0.01,42,A+V missing,0.5,28,434945,0.6568012369582809,0.6097710152529102,2026-09-05 22:12:03
MOSEI-B3-sg,B,H0+nsgL2 λ=0.02,42,None,0.5,27,434945,0.6532992720636037,0.6022509923915963,2026-09-05 22:18:18
MOSEI-B3-sg,B,H0+nsgL2 λ=0.02,42,T missing,0.5,27,434945,0.800884989368076,0.2800240444393929,2026-09-05 22:18:19
MOSEI-B3-sg,B,H0+nsgL2 λ=0.02,42,A missing,0.5,27,434945,0.6531678170363707,0.6051377065821301,2026-09-05 22:18:20
MOSEI-B3-sg,B,H0+nsgL2 λ=0.02,42,V missing,0.5,27,434945,0.6614174348397063,0.599817892931963,2026-09-05 22:18:21
MOSEI-B3-sg,B,H0+nsgL2 λ=0.02,42,T+A missing,0.5,27,434945,0.8103700646620718,0.23580598302161537,2026-09-05 22:18:22
MOSEI-B3-sg,B,H0+nsgL2 λ=0.02,42,T+V missing,0.5,27,434945,0.8228702819102827,0.1684222157055766,2026-09-05 22:18:23
MOSEI-B3-sg,B,H0+nsgL2 λ=0.02,42,A+V missing,0.5,27,434945,0.6581794766453661,0.6074688087429317,2026-09-05 22:18:24
MOSEI-Stage4-Fusion,B,F0 H0(z→Pred),42,None,0.5,23,434945,0.65800761292107,0.601842894144546,2026-09-05 23:31:33
MOSEI-Stage4-Fusion,B,F0 H0(z→Pred),42,T missing,0.5,23,434945,0.8034510359224292,0.26002413175404415,2026-09-05 23:31:35
MOSEI-Stage4-Fusion,B,F0 H0(z→Pred),42,A missing,0.5,23,434945,0.6511330409950833,0.6004138024522928,2026-09-05 23:31:36
MOSEI-Stage4-Fusion,B,F0 H0(z→Pred),42,V missing,0.5,23,434945,0.6654846615895126,0.5967023566766835,2026-09-05 23:31:37
MOSEI-Stage4-Fusion,B,F0 H0(z→Pred),42,T+A missing,0.5,23,434945,0.802128920992636,0.2416912810739642,2026-09-05 23:31:38
MOSEI-Stage4-Fusion,B,F0 H0(z→Pred),42,T+V missing,0.5,23,434945,0.8144447276036365,0.21785310243356104,2026-09-05 23:31:39
MOSEI-Stage4-Fusion,B,F0 H0(z→Pred),42,A+V missing,0.5,23,434945,0.6591620293402621,0.5920451552662465,2026-09-05 23:31:40
MOSEI-Stage4-Fusion,B,F1 MaskGate,42,None,0.5,18,699140,0.6669537118815998,0.5967079052586923,2026-09-05 23:39:48
MOSEI-Stage4-Fusion,B,F1 MaskGate,42,T missing,0.5,18,699140,0.8178800423317168,0.17768314142672503,2026-09-05 23:39:50
MOSEI-Stage4-Fusion,B,F1 MaskGate,42,A missing,0.5,18,699140,0.6585190717881895,0.6086625070343487,2026-09-05 23:39:51
MOSEI-Stage4-Fusion,B,F1 MaskGate,42,V missing,0.5,18,699140,0.6649131494622992,0.5988940014198947,2026-09-05 23:39:52
MOSEI-Stage4-Fusion,B,F1 MaskGate,42,T+A missing,0.5,18,699140,0.8113866146099169,0.20544293057101293,2026-09-05 23:39:53
MOSEI-Stage4-Fusion,B,F1 MaskGate,42,T+V missing,0.5,18,699140,0.8377608032115831,0.0037008594100737527,2026-09-05 23:39:54
MOSEI-Stage4-Fusion,B,F1 MaskGate,42,A+V missing,0.5,18,699140,0.6589261680961196,0.6092831703899033,2026-09-05 23:39:55
