family,condition,metric,variant,reference,n_seeds,variant_mean,variant_sample_std,reference_mean,reference_sample_std,paired_difference_mean,paired_difference_sample_std,improved_seeds
representation,A+V missing,legacy_D_cross,REL,B3_POINT,3,0.5764365032040666,0.02772540497775043,0.5659829162631692,0.06252659383679034,0.01045358694089745,0.08465950118001517,1
representation,A+V missing,relational_drift_rms,H0,B3_POINT,3,0.336618396300254,0.08262306578584755,0.24397140911555795,0.012592585096045966,0.09264698718469604,0.08714065147911261,0
representation,A+V missing,relational_drift_rms,B3_POINT,H0,3,0.24397140911555795,0.012592585096045966,0.336618396300254,0.08262306578584755,-0.09264698718469604,0.08714065147911261,3
representation,A+V missing,relational_drift_rms,REL,H0,3,0.14511877741189994,0.01800511031923539,0.336618396300254,0.08262306578584755,-0.191499618888354,0.07819339526216924,3
representation,A+V missing,relational_drift_rms,REL,B3_POINT,3,0.14511877741189994,0.01800511031923539,0.24397140911555795,0.012592585096045966,-0.09885263170365799,0.011066195298689725,3
representation,A+V missing,shared_reference_D_cross,H0,B3_POINT,3,0.5577780576152472,0.02405182259003321,0.5600459524828602,0.15085921795705423,-0.002267894867612789,0.15971205924341023,2
representation,A+V missing,shared_reference_D_cross,B3_POINT,H0,3,0.5600459524828602,0.15085921795705423,0.5577780576152472,0.02405182259003321,0.002267894867612789,0.15971205924341023,1
representation,A+V missing,shared_reference_D_cross,REL,H0,3,0.7316422961216205,0.2556200533593706,0.5577780576152472,0.02405182259003321,0.17386423850637323,0.24808852572297954,1
representation,A+V missing,shared_reference_D_cross,REL,B3_POINT,3,0.7316422961216205,0.2556200533593706,0.5600459524828602,0.15085921795705423,0.17159634363876042,0.16589202406257306,0
representation,T missing,absolute_l2,H0,B3_POINT,3,7.814638262617694,2.836004519998816,7.196616458077311,0.6043835580614788,0.6180218045403828,2.2368577977676276,2
representation,T missing,absolute_l2,B3_POINT,H0,3,7.196616458077311,0.6043835580614788,7.814638262617694,2.836004519998816,-0.6180218045403828,2.2368577977676276,1
representation,T missing,absolute_l2,REL,H0,3,9.867610719058002,1.537904987810345,7.814638262617694,2.836004519998816,2.052972456440308,3.6253392643160374,1
representation,T missing,absolute_l2,REL,B3_POINT,3,9.867610719058002,1.537904987810345,7.196616458077311,0.6043835580614788,2.6709942609806903,1.8748911318068242,0
representation,T missing,cosine_drift,H0,B3_POINT,3,0.2997055632361075,0.04867456775823004,0.1731775811789634,0.039579242618964755,0.12652798205714405,0.05329369280782489,0
representation,T missing,cosine_drift,B3_POINT,H0,3,0.1731775811789634,0.039579242618964755,0.2997055632361075,0.04867456775823004,-0.12652798205714405,0.05329369280782489,3
representation,T missing,cosine_drift,REL,H0,3,0.1490531230967675,0.01848410989098018,0.2997055632361075,0.04867456775823004,-0.15065244013933995,0.06391527987241274,3
representation,T missing,cosine_drift,REL,B3_POINT,3,0.1490531230967675,0.01848410989098018,0.1731775811789634,0.039579242618964755,-0.024124458082195915,0.03633707155267748,2
representation,T missing,legacy_D_cross,H0,B3_POINT,3,0.7373483661019012,0.040726623493362916,0.7305406734570835,0.00946698894264385,0.006807692644817731,0.039504192389192595,2
