seed,variant,family,condition,metric,value
44,H0,task,A+V missing,DeltaCorr,0.009880878579141328
44,H0,task,missAvg,MAE,0.7394731627875238
44,H0,task,missAvg,Corr,0.41835717655235055
44,H0,task,missAvg,DeltaMAE,0.06382211605864534
44,H0,task,missAvg,DeltaCorr,0.17426702512858563
44,H0,representation,T missing,absolute_l2,10.968007405392246
44,H0,representation,T missing,cosine_drift,0.30711871241709565
44,H0,representation,T missing,relational_drift_rms,0.4575426481693011
44,H0,representation,T missing,legacy_D_cross,0.7825475288602219
44,H0,representation,T missing,shared_reference_D_cross,0.7825475288602219
44,H0,representation,A missing,absolute_l2,4.853999212103877
44,H0,representation,A missing,cosine_drift,0.08476177229380649
44,H0,representation,A missing,relational_drift_rms,0.2009870045670115
44,H0,representation,A missing,legacy_D_cross,0.3463240813143405
44,H0,representation,A missing,shared_reference_D_cross,0.3463240813143405
44,H0,representation,V missing,absolute_l2,5.433023620843029
44,H0,representation,V missing,cosine_drift,0.09118242071919172
44,H0,representation,V missing,relational_drift_rms,0.2515372035232669
44,H0,representation,V missing,legacy_D_cross,0.38763642761945044
44,H0,representation,V missing,shared_reference_D_cross,0.38763642761945044
44,H0,representation,T+A missing,absolute_l2,12.687364269071164
44,H0,representation,T+A missing,cosine_drift,0.4109465283714645
44,H0,representation,T+A missing,relational_drift_rms,0.4794313750308645
44,H0,representation,T+A missing,legacy_D_cross,0.9052205372901138
44,H0,representation,T+A missing,shared_reference_D_cross,0.9052205372901138
44,H0,representation,T+V missing,absolute_l2,12.605172109788105
44,H0,representation,T+V missing,cosine_drift,0.40807655496833445
44,H0,representation,T+V missing,relational_drift_rms,0.5099749250913512
44,H0,representation,T+V missing,legacy_D_cross,0.8993562750990596
44,H0,representation,T+V missing,shared_reference_D_cross,0.8993562750990596
44,H0,representation,A+V missing,absolute_l2,7.980760796766884
44,H0,representation,A+V missing,cosine_drift,0.1876525404465253
44,H0,representation,A+V missing,relational_drift_rms,0.31963500059802524
44,H0,representation,A+V missing,legacy_D_cross,0.5694128759307772
44,H0,representation,A+V missing,shared_reference_D_cross,0.5694128759307772
44,H0,representation,mean(6),absolute_l2,9.088054568994217
44,H0,representation,mean(6),cosine_drift,0.248289754869403
44,H0,representation,mean(6),relational_drift_rms,0.3698513594966368
44,H0,representation,mean(6),legacy_D_cross,0.6484162876856605
44,H0,representation,mean(6),shared_reference_D_cross,0.6484162876856605
